,neighbourhood,area,rooms,bathrooms,rent
1530,Centro,60,2,3,1554
1531,Jardim Centenário,48,2,1,1400
1532,Parque Santa Felícia Jardim,80,3,1,1667
1533,,100,3,2,2000
1534,Centro,56,2,1,1900
1535,,80,2,2,1500
1536,Parque Arnold Schimidt,41,1,1,1112
1537,Jardim Nova Santa Paula,57,2,1,750
1538,Jardim Gibertoni,130,3,3,1000
1539,Centro,60,2,1,1900
1540,Parque Sabará,67,2,2,1900
1541,Jardim Gibertoni,70,2,1,1334
1542,Parque Santa Mônica,81,3,1,1300
1543,Jardim Nova São Carlos,42,2,1,640
1544,Parque Arnold Schimidt,63,2,2,1500
1545,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
1546,,102,3,2,3111
1547,Parque Fehr,43,2,1,1334
1548,Jardim Bethania,60,2,2,1700
1549,Jardim Alvorada,60,2,1,880
1550,Jardim Alvorada,64,2,2,2500
1551,Jardim Santa Paula,66,2,2,1223
1552,Parque Arnold Schimidt,48,2,1,1100
1553,Parque Santa Mônica,82,1,1,1400
1554,Jardim Brasil,49,2,2,1000
1555,Vila Irene,42,2,1,600
1556,,64,3,2,1400
1557,Centro,44,1,1,1400
1558,Jardim Lutfalla,56,2,1,1555
1559,,98,2,2,1667
1560,Gleba I,111,4,3,3300
1561,Centro,35,1,2,1112
1562,Jardim Bethania,115,3,1,2440
1563,Jardim Gibertoni,150,3,3,3700
1564,,146,3,4,2500
1565,Parque Sabará,63,2,2,1760
1566,Centro,60,2,3,1554
1567,Jardim Centenário,48,2,1,1400
1568,Parque Santa Felícia Jardim,80,3,1,1667
1569,,100,3,2,2000
1570,Centro,56,2,1,1900
1571,,80,2,2,1500
1572,Parque Arnold Schimidt,41,1,1,1112
1573,Jardim Nova Santa Paula,57,2,1,750
1574,Jardim Gibertoni,130,3,3,1000
1575,Centro,60,2,1,1900
1576,Parque Sabará,67,2,2,1900
1577,Jardim Gibertoni,70,2,1,1334
1578,Parque Santa Mônica,81,3,1,1300
1579,Jardim Nova São Carlos,42,2,1,640
1580,Parque Arnold Schimidt,63,2,2,1500
1581,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
1582,,102,3,2,3111
1583,Parque Fehr,43,2,1,1334
1584,Jardim Bethania,60,2,2,1700
1585,Jardim Alvorada,60,2,1,880
1586,Jardim Alvorada,64,2,2,2500
1587,Jardim Santa Paula,66,2,2,1223
1588,Parque Arnold Schimidt,48,2,1,1100
1589,Parque Santa Mônica,82,1,1,1400
1590,Jardim Brasil,49,2,2,1000
1591,Vila Irene,42,2,1,600
1592,,64,3,2,1400
1593,Centro,44,1,1,1400
1594,Jardim Lutfalla,56,2,1,1555
1595,,98,2,2,1667
1596,Gleba I,111,4,3,3300
1597,Centro,35,1,2,1112
1598,Jardim Bethania,115,3,1,2440
1599,Jardim Gibertoni,150,3,3,3700
1600,,146,3,4,2500
1601,Parque Sabará,63,2,2,1760
1602,Centro,60,2,3,1554
1603,Jardim Centenário,48,2,1,1400
1604,Parque Santa Felícia Jardim,80,3,1,1667
1605,,100,3,2,2000
1606,Centro,56,2,1,1900
1607,,80,2,2,1500
1608,Parque Arnold Schimidt,41,1,1,1112
1609,Jardim Nova Santa Paula,57,2,1,750
1610,Jardim Gibertoni,130,3,3,1000
1611,Centro,60,2,1,1900
1612,Parque Sabará,67,2,2,1900
1613,Jardim Gibertoni,70,2,1,1334
1614,Parque Santa Mônica,81,3,1,1300
1615,Jardim Nova São Carlos,42,2,1,640
1616,Parque Arnold Schimidt,63,2,2,1500
1617,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
1618,,102,3,2,3111
1619,Parque Fehr,43,2,1,1334
1620,Jardim Bethania,60,2,2,1700
1621,Jardim Alvorada,60,2,1,880
1622,Jardim Alvorada,64,2,2,2500
1623,Jardim Santa Paula,66,2,2,1223
1624,Parque Arnold Schimidt,48,2,1,1100
1625,Parque Santa Mônica,82,1,1,1400
1626,Jardim Brasil,49,2,2,1000
1627,Vila Irene,42,2,1,600
1628,,64,3,2,1400
1629,Centro,44,1,1,1400
1630,Jardim Lutfalla,56,2,1,1555
1631,,98,2,2,1667
1632,Gleba I,111,4,3,3300
1633,Centro,35,1,2,1112
1634,Jardim Bethania,115,3,1,2440
1635,Jardim Gibertoni,150,3,3,3700
1636,,146,3,4,2500
1637,Parque Sabará,63,2,2,1760
1638,Centro,60,2,3,1554
1639,Jardim Centenário,48,2,1,1400
1640,Parque Santa Felícia Jardim,80,3,1,1667
1641,,100,3,2,2000
1642,Centro,56,2,1,1900
1643,,80,2,2,1500
1644,Parque Arnold Schimidt,41,1,1,1112
1645,Jardim Nova Santa Paula,57,2,1,750
1646,Jardim Gibertoni,130,3,3,1000
1647,Centro,60,2,1,1900
1648,Parque Sabará,67,2,2,1900
1649,Jardim Gibertoni,70,2,1,1334
1650,Parque Santa Mônica,81,3,1,1300
1651,Jardim Nova São Carlos,42,2,1,640
1652,Parque Arnold Schimidt,63,2,2,1500
1653,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
1654,,102,3,2,3111
1655,Parque Fehr,43,2,1,1334
1656,Jardim Bethania,60,2,2,1700
1657,Jardim Alvorada,60,2,1,880
1658,Jardim Alvorada,64,2,2,2500
1659,Jardim Santa Paula,66,2,2,1223
1660,Parque Arnold Schimidt,48,2,1,1100
1661,Parque Santa Mônica,82,1,1,1400
1662,Jardim Brasil,49,2,2,1000
1663,Vila Irene,42,2,1,600
1664,,64,3,2,1400
1665,Centro,44,1,1,1400
1666,Jardim Lutfalla,56,2,1,1555
1667,,98,2,2,1667
